Name,Given Name,Family Name,Group Membership,E-mail 1 - Type,E-mail 1 - Value
BIGG BDE - Présidence,BIGG BDE,Présidence,* myContacts,Work,presidence@biggbde.fr
BIGG BDE - Vice Présidence,BIGG BDE,Vice Présidence,* myContacts,Work,vice-presidence@biggbde.fr
BIGG BDE - Secrétariat,BIGG BDE,Secrétariat,* myContacts,Work,secretariat@biggbde.fr
BIGG BDE - Évènementiel,BIGG BDE,Évènementiel,* myContacts,Work,evenementiel@biggbde.fr
BIGG BDE - Trésorerie,BIGG BDE,Trésorerie,* myContacts,Work,tresorerie@biggbde.fr
BIGG BDE - Réseau,BIGG BDE,Reseau,* myContacts,Work,reseau@biggbde.fr
BIGG BDE - Communication,BIGG BDE,Communication,* myContacts,Work,communication@biggbde.fr
BIGG BDE - Partenariats,BIGG BDE,Partenariats,* myContacts,Work,partenariats@biggbde.fr
BIGG BDE - Goodies,BIGG BDE,Goodies,* myContacts,Work,goodies@biggbde.fr
BIGG BDE - WebMaster,BIGG BDE,Site WEB,* myContacts,Work,webmaster@biggbde.fr
BIGG BDE - Contact,BIGG BDE,Contact,* myContacts,Work,contact@biggbde.fr
